,Acceso minusválidos,Metros,Plantas,Cal. energética:,Individual,Agua caliente,Consumo,provincia,Exterior,Número de terrazas,Piscina,Pista de tenis,Calefacción,Garajes,Tipo de suelo,Conserje,Pista de fútbol,Gimnasio,Adosado,Año de construcción,Zonas verdes,Armarios,Tipo de fachada,Alarma,Pisos,Permite mascotas,Cal. energética,Ascensor,Campo de golf,Comunidad,Metros útiles,Puerta de seguridad,Aire acondicionado,Pista de pádel,Trastero,Orientación,Pista de squash,Pista de baloncesto,Antigüedad,Pareado,Circuito cerrado de seguridad,Inquilinos,Dormitorios,Baños,Amueblado,Emisiones,Precio,Cocina equipada,Estado
235,,91,6,,,Gas natural,,madrid,Si,1,Si,,Gas Natural,,Parquet,Si,,,,1997,Si,4,,,,,,Si,,"95,41 €",74,Si,,,,Sureste,,,Mas de 25 Años,,Si,,2,2,Si,,A consultar,Si,Perfecto Estado
236,,106,,Si,,,,madrid,Si,,,,Gas Natural,,,,,,,1994,,,,,,,,Si,,"99,00 €",,,,,,,,,,,,,2,1,,,A consultar,,
237,,77,4,,,Individual,,madrid,Si,,,,Individual,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,3,1,Si,,A consultar,Si,Perfecto Estado
238,,74,,Si,,,,madrid,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,A consultar,,
239,,107,7,Si,,Individual,,madrid,Si,,Si,,Gas Natural,,Tarima Flotante,,,,,2018,Si,4,Ladrillo,,,,,Si,,,83,Si,,Si,Si,,,,Entre 5 y 10 Años,,,,3,2,Si,,A consultar,Si,Depende del precio
240,,360,,,,Gas natural,,madrid,Si,1,Si,Si,Gas Natural,1,Gres,,,,Si,1991,Si,,,,,,,,,,300,Si,Si,,Si,,,,,,,,3,2,,,A consultar,,Perfecto Estado
241,,197,,,,Gas natural,,madrid,Si,,Si,Si,Gas Natural,1,Gres,,,,Si,1985,Si,,,,,,,,,,147,Si,Si,,Si,,,,,,,,4,3,,,A consultar,,Perfecto Estado
242,,250,,,,Gas natural,,madrid,Si,1,Si,Si,Gas Natural,1,Terrazo,,Si,,Si,1985,Si,,,,,,,,,,198,Si,,Si,Si,,,,,,,,4,3,,,A consultar,Si,A reformar
243,,147,,Si,,Gas natural,129 KW h/m² año,madrid,Si,1,Si,Si,Gas Natural,1,Parquet,Si,Si,,,1975,Si,3,Cemento,Si,,,,Si,,"130,00 €",95,Si,,,Si,Sur,Si,Si,Entre 35 y 50 Años,,Si,,3,2,,28 Kg CO2/m² año,A consultar,,Perfecto Estado
244,Si,87,,Si,,,,madrid,,,,,Central,,Tarima normal,Si,,,,1978,Si,,Ladrillo,,,,,Si,,,75,,,,,,,,Más de 50 años,,Si,,3,2,,,A consultar,,
245,Si,115,7,Si,,Central,288 KW h/m² año,madrid,,,,,Central,,Parquet,Si,,,,1958,,,Mono Capa,,21,,,Si,,"160,00 €",91,,,,,,,,Más de 50 años,,,,4,2,,60 Kg CO2/m² año,A consultar,,A reformar
246,Si,85,5,Si,,Gas natural,157 KW h/m² año,madrid,Si,1,,,Suelo Radiante,1,Porcelánico,Si,,,,2005,Si,3,Ladrillo,,98,,,Si,,"85,00 €",68,Si,Si,,Si,Este,,,Entre 15 y 20 Años,,Si,,2,2,Si,,A consultar,Si,Perfecto Estado
247,,95,,Si,,Gas natural,,madrid,Si,,Si,,Gas Natural,2,,Si,,,,2007,Si,3,Ladrillo,,,,,Si,,,74,,Si,,Si,Oeste,,,,,Si,,3,2,,,A consultar,,Perfecto Estado
248,Si,86,,Si,,Individual,,madrid,Si,,,,Individual,2,Tarima normal,Si,,,,2012,Si,2,Ladrillo,,,,,Si,,"68,00 €",64,Si,Si,,Si,Oeste,,,Entre 5 y 10 Años,,,,3,2,Si,,A consultar,Si,Perfecto Estado
249,Si,77,,Si,,Gas natural,,madrid,Si,,,,Gas Natural,1,Tarima normal,Si,,,,2012,Si,,Ladrillo,,,,,Si,,,56,,Si,,Si,Sur,,,Entre 10 y 15 Años,,,,2,1,,,A consultar,Si,Perfecto Estado
250,,78,4,Si,,Individual,344 KW h/m² año,madrid,Si,1,Si,Si,Eléctrica,,Tarima normal,,,,,1975,Si,2,Mono Capa,,,Si,,,,"110,00 €",70,Si,,,,,,,Entre 35 y 50 Años,,Si,,2,1,,58 Kg CO2/m² año,A consultar,Si,A reformar
251,,291,2,Si,Si,Individual,,madrid,Si,1,,,Gasóleo,1,Terrazo,,,,,1975,,,Ladrillo,,,,,,,,264,,,,,,,,Entre 35 y 50 Años,,,,4,2,,,A consultar,,Depende del precio
252,,54,5,Si,,Individual,,madrid,,,,,Gas Natural,,Tarima normal,,,,,1960,,,Ladrillo,,39,,,Si,,"50,00 €",43,,,,,Este,,,Entre 35 y 50 Años,,,,2,1,,,A consultar,,Depende del precio
253,Si,114,,Si,,,,madrid,Si,2,Si,,Suelo Radiante,1,Porcelánico,Si,,Si,,2023,Si,,Mono Capa,,,,,Si,,"130,00 €",76,Si,Si,Si,Si,,,,Menos de 5 Años,,Si,,3,2,,,A consultar,Si,Perfecto Estado
254,,55,4,Si,,,,madrid,Si,,,,Eléctrica,,Gres,,,,,1960,,,Ladrillo,,,,,,,,,Si,Si,,,,,,Entre 35 y 50 Años,,,,3,1,,,A consultar,Si,A reformar
255,Si,88,11,Si,,Gas natural,,madrid,Si,1,,,,,Gres,,,,,1960,,3,Ladrillo,,,,,Si,,,,Si,,,,,,,Entre 35 y 50 Años,,Si,,3,1,,,A consultar,Si,A reformar
256,,112,9,Si,,Gas natural,220 KW h/m² año,madrid,Si,,Si,,Gas Natural,1,Tarima Flotante,Si,,Si,,2006,Si,5,Ladrillo,,42,,,Si,,"190,00 €",79,,,Si,Si,Noreste,,,Entre 15 y 20 Años,,,,3,2,,46 Kg CO2/m² año,A consultar,,Perfecto Estado
257,Si,78,8,Si,,Individual,,madrid,Si,,,,Individual,1,Tarima Flotante,Si,,,,,,8,Ladrillo,Si,,,,Si,,,,Si,Si,,,,,,Entre 5 y 10 Años,,,,1,1,,,A consultar,Si,Perfecto Estado
258,Si,180,4,Si,,Central,240 KW h/m² año,madrid,Si,3,,,Central,1,Parquet,,,,,1975,,1,Piedra,,4,,,Si,,"200,00 €",,Si,Si,,,Sur,,,Entre 35 y 50 Años,,,,4,3,,50 Kg CO2/m² año,A consultar,Si,
259,Si,78,4,Si,,Gas natural,,madrid,Si,,,,Gas Natural,,Tarima Flotante,,,,,1953,,1,Ladrillo,,4,,,Si,,"70,00 €",62,Si,Si,,,Norte,,,Más de 50 años,,,,3,1,,,A consultar,Si,Perfecto Estado
260,,95,3,Si,,Gas natural,192 KW h/m² año,madrid,Si,1,,,Central,,Baldosa,,,,,1984,,3,Ladrillo,,,,,,,"100,00 €",79,,Si,,,,,,Entre 35 y 50 Años,,,,3,2,,40 Kg CO2/m² año,A consultar,,Perfecto Estado
261,Si,100,7,Si,,Individual,25 KW h/m² año,madrid,Si,,Si,,Individual,1,Baldosa,Si,,,,2000,Si,3,Ladrillo,Si,,,,Si,,,77,Si,Si,,Si,Oeste,,,Entre 20 y 25 Años,,Si,,3,2,,55 Kg CO2/m² año,A consultar,Si,Perfecto Estado
262,Si,78,5,Si,,Gas natural,,madrid,Si,2,,,,,Sintasol,,,,,1970,Si,,Ladrillo,,2,,,Si,,"55,00 €",71,,,,,Este,,,Más de 50 años,,,,3,1,,,A consultar,,A reformar
263,,50,,Si,,Individual,,madrid,Si,,,,,,Tarima Flotante,,,,,1960,,,,,,,,,,"40,00 €",,,,,,Noreste,,,Más de 50 años,,,,2,1,Si,,A consultar,Si,Perfecto Estado
264,,74,,Si,,,,madrid,Si,,,,,,,,,,Si,1900,,,Ladrillo,,,,,,,,64,,,,,Este,,,Más de 50 años,,,,3,1,,,35500,,
265,,70,,Si,,,,madrid,Si,2,,,,,,,,,Si,1970,,,Ladrillo,,,,,,,,61,,,,,Suroeste,,,Más de 50 años,,,,1,1,,,65000,,Perfecto Estado
266,,35,,Si,,Individual,,madrid,Si,,,,,,Tarima Flotante,,,,,1968,,,Mono Capa,,,,,,,,,,Si,,,,,,Más de 50 años,,,,1,1,,,75000,,
267,,114,,Si,,,,madrid,Si,3,,,Individual,,,,,,,1990,,3,Ladrillo,,,,,,,,99,,,,,Noroeste,,,Entre 25 y 35 años,,,,3,2,,,80000,,Perfecto Estado
268,,150,2,Si,Si,,,madrid,Si,,,,Gasóleo,,,,,,,,,,,,,,,,,,130,,,,,,,,,,,,3,1,,,85000,,A reformar
269,,23,,Si,,,,madrid,,,,,Eléctrica,,Tarima Flotante,,,,,1950,,,,,,,,,,,21,,,,,,,,,,,,1,1,,,89000,Si,
270,Si,36,,Si,,Individual,65 KW h/m² año,madrid,Si,,,,,,Otros,,,,,,,,,,,,,,,,,,Si,,,Noreste,,,,,,,1,1,,220 Kg CO2/m² año,89000,,
271,,19,4,Si,,Individual,356 KW h/m² año,madrid,,,,,Eléctrica,,Tarima Flotante,,,,,1920,,,Otros materiales,,,,,,,,,,Si,,,,,,Más de 50 años,,,,,1,,71 Kg CO2/m² año,93000,,Perfecto Estado
272,,31,,,,,,madrid,,,,,,,Gres,,,,,,,,,,,,,,,"50,00 €",25,,,,,,,,Entre 20 y 25 Años,,,,1,1,,,94000,,Perfecto Estado
273,,53,4,Si,,Gas natural,,madrid,Si,,,,Gas Natural,,Tarima normal,,,,,1965,,,Ladrillo,,4,,,Si,,"45,00 €",48,Si,Si,,,Este,,,Más de 50 años,,,,2,1,Si,,99000,Si,Perfecto Estado
274,,232,,Si,Si,,,madrid,Si,,,,,,,,,,,1900,,,,,,,,,,,202,,,,,,,,Más de 50 años,,,,3,1,,,99000,,A reformar
275,,217,,Si,Si,,,madrid,Si,2,,,,,Otros,,,,,1980,,,Ladrillo,,,,,,,,189,,,,,,,,Entre 35 y 50 Años,,,,7,2,,,99000,,
276,,47,,,,Gas natural,,madrid,,,,,Gas Natural,,Tarima normal,,,,,,,,,,,,,,,"1.973,00 €",47,,Si,,,,,,Mas de 25 Años,,,,1,1,,,99990,Si,
277,Si,44,,Si,,Individual,,madrid,Si,,,,,,Tarima normal,,,,,,,,,Si,,,,,,,43,Si,Si,,,,,,,,,,1,1,,,100000,,Perfecto Estado
278,,103,,Si,,Individual,,madrid,Si,1,Si,,Gas Natural,1,Baldosa,,,,,1974,Si,,Ladrillo,,,,,,,"50,00 €",,,Si,,,Sur,,,Entre 35 y 50 Años,,,,1,1,Si,,105000,,Perfecto Estado
279,,72,2,,,,,madrid,,,,,,,Gres,,,,,1975,,,,,,,,,,"50,00 €",67,,Si,,,,,,Mas de 25 Años,,,,3,1,,,105000,,
280,,25,,Si,,Individual,,madrid,Si,,,,Individual,,Gres,,,,,1920,,,Cemento,,,,,,,"60,00 €",20,Si,Si,,,Noroeste,,,Más de 50 años,,,,,1,Si,,108000,Si,
281,,65,,,,,,madrid,,1,,,,,Tarima normal,,,,,,,,,,,,,,,,54,,,,,,,,Entre 35 y 50 Años,,,,2,1,,,109000,,Perfecto Estado
282,,66,,,,,,madrid,Si,1,,,,,Gres,,,,,1970,,,,,,,,,,"60,00 €",63,,,,,,,,Mas de 25 Años,,,,3,1,,,109000,Si,
283,,52,5,Si,,,142 KW h/m² año,madrid,Si,,,,Eléctrica,,Tarima Flotante,,,,,1968,,1,Ladrillo,,20,,,,,"10,00 €",50,Si,,,,,,,Más de 50 años,,,,1,1,,59 Kg CO2/m² año,110000,Si,Perfecto Estado
284,,59,,,,Individual,,madrid,Si,,,,Gas Natural,,Gres,,,,,,,,,,,,,,,,50,,,,,,,,Más de 50 años,,,,3,1,,,112500,,A reformar
285,,184,,Si,,,,madrid,Si,2,,,,,,,,,,1972,,,,,,,,,,,160,,,,,Suroeste,,,Más de 50 años,,,,4,1,,,114000,,
286,,47,,Si,,Gas natural,,madrid,Si,,,,Gas Natural,,Gres,,,,,1950,,,Cemento,,,,,,,"30,00 €",36,Si,,,,Noroeste,,,Mas de 25 Años,,,,2,1,,,115000,,Perfecto Estado
287,,44,3,,,Individual,,madrid,Si,,,,Eléctrica,,Baldosa,,,,,1955,,,Mono Capa,,10,,,,,,35,,Si,,,,,,Más de 50 años,,,,1,1,,,115000,Si,Perfecto Estado
288,,295,,,Si,,,madrid,,,,,,1,Gres,,,,,1989,,,,,,,,,,"30,00 €",235,,,,Si,,,,Mas de 25 Años,,,,5,2,,,115000,,
289,,55,,Si,,Individual,201 KW h/m² año,madrid,Si,,,,,,,,,,,2008,,,,,,,,Si,,,50,,,,Si,,,,Entre 15 y 20 Años,,,,1,1,,42 Kg CO2/m² año,118000,Si,Perfecto Estado
290,,50,3,,,Colectiva,,madrid,Si,,,,Eléctrica,,Parquet,,,,,2006,,2,Ladrillo,,6,,,Si,,,42,Si,,,Si,,,,Entre 10 y 15 Años,,,,1,1,,,119900,Si,Perfecto Estado
291,,30,,Si,,,,madrid,,,,,Eléctrica,,Gres,,,,,1930,,,,,,,,,,,,,,,,,,,,,,,2,1,,,120000,Si,
292,,32,,Si,,,,madrid,,,,,,,,,,,,1900,,,,,,,,,,"60,00 €",30,,Si,,,,,,Más de 50 años,,,,1,1,,,120000,Si,Perfecto Estado
293,,27,,Si,,,311 KW h/m² año,madrid,,,,,,,Tarima normal,,,,,1950,,,Cemento,,,,,,,,24,,,,,,,,,,,,1,1,,65 Kg CO2/m² año,120000,Si,Perfecto Estado
294,,71,,,,Individual,,madrid,Si,1,,,Individual,,,,,,,1972,,,Ladrillo,,,,,,,,,,,,,,,,Mas de 25 Años,,,,3,1,,,120000,,
295,,36,,Si,,Individual,,madrid,Si,,,,Eléctrica,,Tarima normal,,,,,1979,,1,Ladrillo,,,,,,,"35,00 €",34,Si,Si,,,Noroeste,,,Entre 35 y 50 Años,,,,1,1,,,121000,,Perfecto Estado
296,,60,,,,,,madrid,,,,,Eléctrica,,Tarima Flotante,,,,,,,,,,,,,,,,50,,,,,,,,Mas de 25 Años,,,,1,1,,,122500,Si,Perfecto Estado
297,,293,,,Si,,,madrid,Si,,,,,,,,,,,1910,,,,,,,,,,,255,,,,,,,,Más de 50 años,,,,5,1,,,122900,,
298,Si,80,6,Si,,,149 KW h/m² año,madrid,Si,2,,,Gas Natural,,Gres,,,,,1971,,,Ladrillo,,48,,,Si,,,76,Si,,,,,,,Más de 50 años,,,,3,1,,67 Kg CO2/m² año,123000,Si,Perfecto Estado
299,,72,,Si,,,274 KW h/m² año,madrid,Si,1,,,Gas Natural,,Gres,,,,,1971,,,Ladrillo,,,,,,,"35,00 €",68,Si,Si,,,,,,Más de 50 años,,,,2,1,,67 Kg CO2/m² año,125000,Si,Perfecto Estado
300,,100,2,Si,,,,madrid,Si,,,,,,,,,,,,,,,,,,,,,,87,,Si,,,,,,,Si,,,4,2,,,125000,,
301,,70,5,,,Individual,,madrid,Si,2,,,,,Parquet,,,,,1970,,,Ladrillo,,18,,,,,"50,00 €",61,,,,,Sureste,,,Más de 50 años,,,,3,1,,,127500,,Perfecto Estado
302,,61,,Si,,Individual,,madrid,Si,,,,,,Terrazo,,,,,,,,,,,,,,,,57,,,,,,,,Más de 50 años,,,,3,1,,,127500,,
303,,62,,Si,,Individual,,madrid,Si,1,,,Eléctrica,,Parquet,,,,,,,,,,,,,,,"35,00 €",59,,,,,,,,Más de 50 años,,,,2,1,,,127500,,Depende del precio
304,,90,,,,,,madrid,Si,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,128500,,
305,,61,,,,Gas natural,,madrid,Si,1,,,Gas Natural,,Tarima normal,,,,,1974,Si,,Ladrillo,,,,,,,,,Si,Si,,,,,,Mas de 25 Años,,Si,,3,1,,,128800,,Perfecto Estado
306,,71,5,,,Central,,madrid,Si,,Si,,Central,,Tarima normal,,,,,1972,,,,,,,,,,"150,00 €",,,Si,,Si,,,,Más de 50 años,,,,3,1,,,128900,Si,Perfecto Estado
307,,58,4,Si,,,152 KW h/m² año,madrid,Si,,,,Gas Natural,,Porcelánico,,,,,1972,,,Ladrillo,,16,,,,,"36,00 €",53,Si,Si,,,,,,Más de 50 años,,,,2,1,,69 Kg CO2/m² año,128900,Si,Perfecto Estado
308,,76,,Si,,,157 KW h/m² año,madrid,Si,1,,,Gas Natural,,Parquet,,,,,1973,,,Ladrillo,,,,,,,"60,00 €",72,Si,,,,,,,Más de 50 años,,,,3,1,,89 Kg CO2/m² año,129000,Si,Perfecto Estado
309,Si,75,,,,Individual,,madrid,Si,1,,,,,Gres,,,,,,,,Ladrillo,,,,,Si,,,,Si,,,,Noroeste,,,Mas de 25 Años,,,,3,1,,,129000,,Depende del precio
310,,226,3,Si,Si,,,madrid,Si,,,,,,,,,,,1955,Si,,Ladrillo,,,,,,,,197,,,,,,,,Más de 50 años,,,,4,2,,,129000,,
311,,310,,Si,Si,,287 KW h/m² año,madrid,Si,,Si,,,,,,,,,1987,Si,,,,,,,,,,270,,,,,,,,,,,,4,2,,60 Kg CO2/m² año,129000,,A reformar
312,,80,,Si,,,,madrid,Si,1,,,Gasóleo,1,Baldosa,,,,Si,2011,,,Ladrillo,,,,,,,,70,,Si,,Si,,,,Entre 10 y 15 Años,,,,2,3,,,129000,,Perfecto Estado
313,,72,6,Si,,Gas natural,5 KW h/m² año,madrid,Si,1,,,Gas Natural,,Sintasol,,,,,1971,,1,Ladrillo,,24,,,,,,68,Si,Si,,,,,,Mas de 25 Años,,,,3,1,,25 Kg CO2/m² año,129900,,
314,,60,,,,Gas natural,,madrid,,,,,Eléctrica,,Tarima normal,,,,,,,,,,,,,,,,57,,Si,,,,,,Mas de 25 Años,,,,3,1,,,129900,Si,Perfecto Estado
315,,359,2,Si,,Individual,,madrid,Si,,,,Biomasa,,,,,,Si,1900,,3,Cemento,,,,,,,,326,,,,,,,,Más de 50 años,,,,6,2,Si,,129990,Si,A reformar
316,,90,,Si,,,,madrid,Si,,,,,,Terrazo,,,,,1986,,,,,,,,,,,72,,Si,,,,,,Entre 35 y 50 Años,,,,3,2,,,131500,,
317,,72,4,Si,,Individual,177 KW h/m² año,madrid,Si,,,,Gas Natural,,Gres,,,,,1968,,2,Ladrillo,,16,,,,,"45,00 €",67,Si,Si,,,,,,Entre 35 y 50 Años,,,,2,1,,35 Kg CO2/m² año,132000,Si,Perfecto Estado
318,,50,5,Si,,,,madrid,Si,,,,Individual,,Parquet,,,,,1985,,,Ladrillo,,,,,,,"60,00 €",,Si,,,,Sureste,,,Entre 25 y 35 años,,,,2,1,,,132000,,Perfecto Estado
319,,109,,Si,,Individual,187 KW h/m² año,madrid,Si,,,,Gas Natural,,Gres,,,,,1973,,,Ladrillo,,,,,,,"40,00 €",94,Si,Si,,Si,,,,Entre 35 y 50 Años,,,,3,1,,69 Kg CO2/m² año,133000,Si,Perfecto Estado
320,Si,48,,Si,,Individual,,madrid,Si,,,,,,Tarima normal,,,,,1965,,,Piedra,,,,,,,,39,,,,,Norte,,,Entre 35 y 50 Años,,,,1,1,,,133000,,Perfecto Estado
321,,76,,,,Gas natural,,madrid,Si,,,,Gas Natural,,Sintasol,,,,,1977,,,,,,,,Si,,"50,00 €",65,,,,,,,,Entre 35 y 50 Años,,,,3,1,,,134100,,Perfecto Estado
322,,73,,,,,,madrid,Si,,,,,,Tarima normal,,,,,1968,,,Ladrillo,,,,,,,,,,Si,,,,,,,,,,3,1,,,134900,,
323,,56,,Si,,Gas natural,,madrid,Si,,,,Gas Natural,,Tarima Flotante,,,,,1965,,1,Mono Capa,,,,,,,,45,,,,,,,,Más de 50 años,,,,2,1,,,134900,Si,Perfecto Estado
324,Si,32,,Si,,Individual,,madrid,,,,,Eléctrica,,Tarima Flotante,Si,,,,1961,,,Ladrillo,,,,,Si,,,28,,,,,Oeste,,,Más de 50 años,,,,,1,,,135000,Si,Perfecto Estado
325,,56,,,,,,madrid,Si,1,,,,,Terrazo,,,,,1965,,,,,,,,,,,,,,,,,,,,,,,3,1,,,135000,,
326,,48,,Si,,Individual,,madrid,Si,,,,Eléctrica,,Gres,,,,,,,,,,,,,,,,46,Si,,,,,,,,,,,2,1,,,135000,Si,Perfecto Estado
327,,109,2,Si,,,,madrid,Si,,,,Individual,1,Gres,,,,,2008,,2,Mono Capa,,,,,,,"30,00 €",90,,Si,,,,,,Entre 20 y 25 Años,,,,2,2,,,135000,,Perfecto Estado
328,,116,,Si,,,,madrid,Si,,Si,,,,,,,,,2009,Si,,Ladrillo,,,,,,,,101,,,,,,,,Entre 15 y 20 Años,Si,,,4,2,Si,,135000,Si,Perfecto Estado
329,Si,72,,,,Individual,,madrid,Si,,,,,,Parquet,,,,,1950,,,,,,,,Si,,,,Si,,,,,,,,,,,3,1,,,135000,,
330,,83,,,,Gas natural,,madrid,,,,,Gas Natural,,Otros,,,,,,,,,,,,,,,"50,00 €",77,,,,,,,,Mas de 25 Años,,,,3,1,,,135000,,
331,,45,9,Si,,,59 KW h/m² año,madrid,Si,,,,Eléctrica,,Tarima Flotante,,,,,1975,,,Ladrillo,,4,,,Si,,,40,Si,Si,,,,,,Entre 35 y 50 Años,,,36,1,1,,142 Kg CO2/m² año,136000,Si,Obra nueva
332,,72,,Si,,,347 KW h/m² año,madrid,,2,,,Individual,,Tarima normal,,,,,1971,,,,,,,,,,,62,Si,,,,,,,Más de 50 años,,,,3,1,,73 Kg CO2/m² año,137500,,Perfecto Estado
333,,35,,Si,,Individual,518 KW h/m² año,madrid,,,,,,,Tarima Flotante,,,,,1930,,,,,,,,,,,30,,,,,,,,Más de 50 años,,,,1,1,,130 Kg CO2/m² año,138000,Si,Depende del precio
334,,56,,,,,,madrid,Si,1,,,,,Gres,,,,,,,,,,,,,,,,48,,,,,,,,Más de 50 años,,,,2,1,,,138500,,A reformar
335,,65,4,,,Gas natural,,madrid,Si,3,,,,,Gres,,,,,1950,,,Ladrillo,,3,,,,,"50,00 €",50,Si,Si,,,Oeste,,,Mas de 25 Años,,,,3,1,,,139000,,Depende del precio
336,,50,,,,Individual,,madrid,Si,2,,,Gas Natural,,Gres,,,,,2002,,1,Ladrillo,,,,,,,,,,,,Si,,,,Entre 20 y 25 Años,,,,1,1,,,139000,,
337,,55,2,,,,,madrid,,1,,,Eléctrica,,Sintasol,,,,,1940,,,,,2,,,,,"50,00 €",50,,Si,,,,,,,,,,2,1,Si,,139000,Si,A reformar
338,,55,,Si,,,,madrid,,1,,,Eléctrica,,Sintasol,,,,,1940,,,,,,,,,,"50,00 €",50,,Si,,,,,,,,,,2,1,,,139000,,A reformar
339,,,,,,Individual,,madrid,,,,,Individual,1,Tarima Flotante,,,,,,,3,Ladrillo,,,,,,,,61,,Si,,Si,,,,Menos de 5 Años,,,,2,2,,,139500,Si,Obra nueva
340,,47,,,Si,,,madrid,,,,,,,,,,,,1970,,,,,,,,,,,,,,,,,,,Más de 50 años,,,,2,1,,,139900,,A reformar
341,,79,,,,Individual,,madrid,Si,,,,Eléctrica,,Baldosa,,,,,,,1,,,,,,,,"70,00 €",,,Si,,,,,,Entre 35 y 50 Años,,,,3,1,,,139900,Si,Perfecto Estado
342,,55,,Si,,Gas natural,,madrid,,,,,Gas Natural,,Tarima normal,,,,,,,,,,,,,,,,,Si,,,,Sur,,,,,,,2,1,,,139900,,Perfecto Estado
343,,60,,Si,,,514 KW h/m² año,madrid,Si,1,,,,,Terrazo,,,,,1962,,,,,,,,,,,50,,,,,,,,Más de 50 años,,,,2,1,,108 Kg CO2/m² año,140000,Si,Perfecto Estado
344,,88,,Si,,Individual,,madrid,Si,1,,,Eléctrica,,Tarima Flotante,,,,,1978,,,,,,,,Si,,,82,Si,Si,,,,,,Mas de 25 Años,,,,3,1,,,140000,Si,
345,Si,63,5,,,Individual,,madrid,Si,1,,,Gas Natural,,Parquet,,,,,1965,,1,Ladrillo,,19,,,Si,,,,Si,Si,,,Oeste,,,Más de 50 años,,,,2,1,Si,,140000,Si,Perfecto Estado
346,,67,,Si,,Gas Butano,,madrid,Si,1,,,Individual,,Gres,,,,,1966,,,Ladrillo,,,,,,,"50,00 €",63,Si,,,,Este,,,Más de 50 años,,,,3,1,,,140000,Si,
347,,64,3,,,Gas natural,,madrid,Si,,,,Gas Natural,,Terrazo,,,,,1950,,,Ladrillo,,3,,,,,"60,00 €",,Si,Si,,,,,,Más de 50 años,,,,3,1,,,140000,Si,
